Date,Clicks,Impressions,CTR,Position
2025-07-13,0,41,0%,25.98
2025-07-12,3,38,7.89%,29
2025-07-11,1,76,1.32%,16.25
2025-07-10,2,41,4.88%,11.02
2025-07-09,6,47,12.77%,9.87
2025-07-08,2,45,4.44%,15.07
2025-07-07,0,81,0%,8.43
2025-07-06,2,19,10.53%,11.63
2025-07-05,0,15,0%,8.13
2025-07-04,1,29,3.45%,6.79
2025-07-03,1,29,3.45%,5.97
2025-07-02,0,30,0%,8.4
2025-07-01,0,24,0%,2.88
2025-06-30,0,0,0%,0
