Country,Clicks,Impressions,CTR,Position
United States,18,493,3.65%,11.75
United Kingdom,0,5,0%,33
Canada,0,4,0%,41.75
Russia,0,3,0%,29
Ireland,0,1,0%,1
Mexico,0,1,0%,1
Spain,0,1,0%,14
Indonesia,0,1,0%,50
France,0,1,0%,53
Australia,0,1,0%,57
Turkey,0,1,0%,62
India,0,1,0%,68
New Zealand,0,1,0%,95
Romania,0,1,0%,101
